cell  80                                                                                                                              
      energy   
    1.2891E+01   2.28234E-10 0.3628
    1.2992E+01   2.73011E-11 1.0000
    1.3093E+01   2.50908E-11 1.0000
    1.3194E+01   3.21935E-11 1.0000
    1.3294E+01   3.95922E-11 0.7071
    1.3395E+01   1.27781E-10 0.4340
    1.3496E+01   2.75996E-11 1.0000
    1.3596E+01   1.59611E-10 0.4532
    1.3697E+01   1.24055E-10 0.4641
    1.3798E+01   9.51207E-11 0.5456
    1.3899E+01   4.53690E-11 0.8113
    1.3999E+01   0.00000E+00 0.0000
    1.4100E+01   2.83367E-11 1.0000
      total      4.48383E-07 0.0059
 
 cell  84                                                                                                                              
      energy   
    0.0000E+00   0.00000E+00 0.0000
    2.5000E-08   1.04733E-17 0.3241
    1.0071E-01   6.10986E-09 0.0157
    2.0143E-01   6.74538E-09 0.0213
    3.0214E-01   7.32812E-09 0.0239
    4.0286E-01   8.27956E-09 0.0250
    5.0357E-01   8.26265E-09 0.0272
    6.0429E-01   8.33261E-09 0.0278
    7.0500E-01   8.60080E-09 0.0288
    8.0571E-01   8.96453E-09 0.0292
    9.0643E-01   9.34258E-09 0.0297
    1.0071E+00   9.27545E-09 0.0315
    1.1079E+00   9.55749E-09 0.0319
    1.2086E+00   9.53248E-09 0.0322
    1.3093E+00   1.00100E-08 0.0324
    1.4100E+00   9.80440E-09 0.0328
    1.5107E+00   9.15858E-09 0.0343
    1.6114E+00   9.14142E-09 0.0349
    1.7121E+00   8.36237E-09 0.0371
    1.8129E+00   8.27541E-09 0.0376
    1.9136E+00   9.12681E-09 0.0369
    2.0143E+00   8.48041E-09 0.0380
    2.1150E+00   8.43279E-09 0.0392
    2.2157E+00   8.47652E-09 0.0388
    2.3164E+00   8.47267E-09 0.0393
    2.4171E+00   7.78747E-09 0.0410
    2.5179E+00   8.38463E-09 0.0398
    2.6186E+00   8.16360E-09 0.0411
    2.7193E+00   7.27049E-09 0.0444
    2.8200E+00   7.81851E-09 0.0430
    2.9207E+00   6.02586E-09 0.0497
    3.0214E+00   6.31087E-09 0.0481
    3.1221E+00   7.47185E-09 0.0454
    3.2229E+00   7.03634E-09 0.0476
    3.3236E+00   6.73254E-09 0.0494
    3.4243E+00   6.40124E-09 0.0507
    3.5250E+00   5.95798E-09 0.0531
    3.6257E+00   5.90369E-09 0.0534
    3.7264E+00   5.85578E-09 0.0541
    3.8271E+00   6.14909E-09 0.0533
    3.9279E+00   6.08730E-09 0.0527
    4.0286E+00   6.72009E-09 0.0500
    4.1293E+00   7.08999E-09 0.0487
    4.2300E+00   6.97393E-09 0.0508
    4.3307E+00   5.50447E-09 0.0564
    4.4314E+00   5.67292E-09 0.0558
    4.5321E+00   6.15674E-09 0.0542
    4.6329E+00   6.57264E-09 0.0523
    4.7336E+00   5.96264E-09 0.0557
    4.8343E+00   6.89390E-09 0.0513
    4.9350E+00   6.20751E-09 0.0543
    5.0357E+00   5.70569E-09 0.0571
    5.1364E+00   6.16962E-09 0.0576
    5.2371E+00   5.32559E-09 0.0596
    5.3379E+00   5.28570E-09 0.0583
    5.4386E+00   4.34424E-09 0.0643
