18-Ar-40(n,total) ENDF/B-VII.1
276282.0,2.13475
276365.0,2.04236
276582.0,1.96312
276632.0,1.96181
277000.0,2.02575
277350.0,2.01647
278000.0,2.03452
280607.0,1.88199
286987.0,1.65812
287282.0,1.70997
287343.0,1.76889
287374.0,1.88111
287386.0,1.99158
287393.0,2.13064
287402.0,2.40615
287408.0,2.79065
287415.0,3.38124
287422.0,4.2829
287434.0,6.30905
287444.0,7.70209
287451.0,8.35232
287454.0,8.42136
287461.0,8.16486
287468.0,7.24991
287486.0,4.35884
287493.0,3.42005
287499.0,2.91324
287505.0,2.53566
287511.0,2.28689
287520.0,2.06995
287530.0,1.94626
287552.0,1.83696
287602.0,1.76313
287754.0,1.73543
288000.0,1.74643
289191.0,1.64031
295655.0,1.4989
296670.0,1.45239
297000.0,1.48522
297131.0,1.46591
297279.0,1.50245
297389.0,1.62682
297449.0,1.76527
297507.0,1.9862
297553.0,2.26642
297593.0,2.63645
297629.0,3.12044
297661.0,3.75701
297691.0,4.61182
297719.0,5.7436
297745.0,7.26315
297770.0,9.23564
297803.0,12.6273
297839.0,16.734
297858.0,18.0041
297871.0,18.2838
297884.0,18.0021
297908.0,16.2094
297964.0,9.9983
297990.0,7.78793
298014.0,6.25579
298042.0,4.99804
298072.0,4.04576
298104.0,3.33413
298142.0,2.76273
298183.0,2.35544
298229.0,2.04496
298275.0,1.83827
298321.0,1.6984
298399.0,1.55547
298478.0,1.48439
298607.0,1.45189
298828.0,1.51096
299000.0,1.59677
299062.0,1.59953
299124.0,1.59912
300000.0,1.68566
301316.0,1.55824
301559.0,1.54032
301787.0,1.57406
301919.0,1.66835
301995.0,1.80012
302043.0,1.95571
302097.0,2.25391
302132.0,2.59082
302164.0,3.0565
302189.0,3.6359
302211.0,4.35857
302232.0,5.37015
302260.0,7.11121
302287.0,8.91225
302307.0,9.74037
302315.0,9.82791
302331.0,9.53287
302354.0,8.2774
302391.0,5.76333
302414.0,4.58402
302436.0,3.75968
302460.0,3.1409
302484.0,2.7114
302519.0,2.29532
302563.0,1.95596
302635.0,1.59492
302647.0,1.56345
302657.0,1.60366
302665.0,1.72414
302673.0,1.97311
302680.0,2.33943
302689.0,3.05933
302702.0,3.99769
302710.0,4.36789
302715.0,4.4313
302723.0,4.24472
302737.0,3.48514
302748.0,2.82975
302758.0,2.42731
302770.0,2.14763
302787.0,1.95893
302820.0,1.80223
302864.0,1.70053
303000.0,1.5733
303276.0,1.50817
303546.0,1.49772
304000.0,1.51027
310604.0,1.4216
311000.0,1.41943
313386.0,1.46202
313688.0,1.52138
313831.0,1.62487
313906.0,1.75574
313963.0,1.96298
314002.0,2.22818
314032.0,2.58525
314052.0,2.96708
314069.0,3.46976
314086.0,4.1856
314100.0,5.08887
314111.0,6.18246
314124.0,7.73129
314140.0,10.3159
314161.0,14.1173
314174.0,15.603
314181.0,15.8381
314191.0,15.3702
314205.0,13.5699
314234.0,8.38714
314248.0,6.52563
314260.0,5.33837
314272.0,4.47828
314287.0,3.73974
314302.0,3.23055
314322.0,2.77145
314347.0,2.40439
314378.0,2.12318
314418.0,1.9068
314459.0,1.77031
314555.0,1.60923
314674.0,1.52159
315016.0,1.43882
316486.0,1.37597
320000.0,1.33531
321000.0,1.33676
322394.0,1.33237
322832.0,1.35293
322940.0,1.41044
322980.0,1.48295
323003.0,1.57239
323021.0,1.71987
323033.0,1.89819
323043.0,2.16243
323050.0,2.48343
323057.0,2.9054
323064.0,3.58936
323072.0,4.5381
323082.0,6.25072
323095.0,8.61777
323103.0,9.58891
323110.0,9.91201
323117.0,9.62402
323126.0,8.52335
323147.0,4.98424
323155.0,3.86169
323162.0,3.12912
323170.0,2.63192
323178.0,2.27196
323188.0,1.98359
323199.0,1.80875
323216.0,1.65137
323242.0,1.53047
323269.0,1.468
323362.0,1.3838
323640.0,1.33578
327364.0,1.28136
338737.0,1.13375
339000.0,1.13399
339546.0,1.11613
340000.0,1.13699
340240.0,1.11791
340472.0,1.14422
340626.0,1.21052
340780.0,1.34957
340896.0,1.53929
340992.0,1.79886
341069.0,2.16087
341146.0,2.68266
341208.0,3.26439
341267.0,4.03651
341324.0,5.09673
341379.0,6.49007
341428.0,8.23415
341489.0,11.0453
341572.0,15.2863
341601.0,16.2731
341632.0,16.6875
341670.0,16.1617
341723.0,14.0189
341813.0,9.65737
341867.0,7.65175
341917.0,6.23776
341975.0,5.072
342033.0,4.2507
342091.0,3.66488
342168.0,3.12278
342264.0,2.68634
342360.0,2.41163
342515.0,2.16171
342669.0,2.04141
342939.0,1.98235
342969.0,1.98261
343700.0,1.61625
343793.0,1.54919
343806.0,1.60295
343816.0,1.74427
343824.0,2.00913
343834.0,2.44839
343850.0,3.27359
343859.0,3.50218
343862.0,3.51455
343870.0,3.36722
343884.0,2.7818
343896.0,2.26074
343906.0,1.98999
343914.0,1.84593
343927.0,1.74343
343956.0,1.66637
344073.0,1.58817
344776.0,1.47591
346819.0,1.36946
354321.0,1.21363
358552.0,1.16722
359132.0,1.18196
359559.0,1.25065
359683.0,1.31785
359747.0,1.41303
359789.0,1.5624
359808.0,1.69572
359827.0,1.9282
359839.0,2.19055
359852.0,2.60547
359863.0,3.15208
359876.0,4.04885
359898.0,5.83981
359907.0,6.3637
359916.0,6.51265
359924.0,6.35531
359934.0,5.74614
359962.0,3.49769
359973.0,2.82552
359984.0,2.36686
359995.0,2.04359
360010.0,1.78339
360029.0,1.59554
360057.0,1.4499
360107.0,1.33829
360195.0,1.26721
360508.0,1.20615
361903.0,1.12971
362896.0,1.10846
363386.0,1.15018
363637.0,1.22299
363765.0,1.31363
363847.0,1.42715
363907.0,1.57487
363955.0,1.77342
363995.0,2.05178
364027.0,2.41236
364051.0,2.82521
364073.0,3.40814
364092.0,4.14215
364109.0,5.03992
364126.0,6.34781
364144.0,8.2832
364180.0,12.8425
364194.0,14.0369
364204.0,14.2959
364217.0,13.8564
364235.0,12.1425
364269.0,7.74382
364286.0,6.12798
364302.0,4.92829
364319.0,4.06941
364338.0,3.40056
364361.0,2.81393
364385.0,2.42288
364419.0,2.05994
364457.0,1.80707
364498.0,1.63444
364569.0,1.4581
364684.0,1.31883
364814.0,1.24497
365267.0,1.15044
366275.0,1.07349
369000.0,0.962165
369530.0,1.01425
369787.0,1.07634
369945.0,1.15039
370054.0,1.25198
370145.0,1.4074
370197.0,1.55607
370242.0,1.75907
370279.0,2.03814
370306.0,2.36032
370328.0,2.75686
370346.0,3.2765
370363.0,3.96974
370383.0,5.03518
370407.0,6.49633
370419.0,6.97684
370426.0,7.0466
370436.0,6.88881
370450.0,6.13883
370483.0,3.47021
370495.0,2.71476
370506.0,2.21109
370517.0,1.8289
370529.0,1.54599
370542.0,1.33772
370558.0,1.18137
370580.0,1.06417
370612.0,0.985459
370659.0,0.956445
370787.0,1.00575
371000.0,1.14092
371190.0,1.13065
371354.0,1.15005
371518.0,1.22924
371640.0,1.355
371743.0,1.52944
371845.0,1.80047
371927.0,2.11907
371999.0,2.51647
372066.0,3.09792
372157.0,4.11378
372271.0,5.78048
372383.0,7.41796
372440.0,7.93734
372488.0,8.07431
372547.0,7.83674
372652.0,6.67401
372795.0,4.90609
372894.0,4.01532
372996.0,3.38584
373119.0,2.83569
373263.0,2.42749
373386.0,2.20314
373550.0,2.0099
373795.0,1.84374
373959.0,1.7751
374160.0,1.58104
374299.0,1.47245
374320.0,1.4704
374366.0,1.50276
374399.0,1.5837
374425.0,1.71541
374451.0,1.9573
374472.0,2.2959
374490.0,2.74734
374506.0,3.34762
374525.0,4.29588
374572.0,7.23374
374590.0,7.89974
374599.0,7.99812
374613.0,7.84415
374636.0,7.00375
374679.0,5.11489
374706.0,4.24593
374734.0,3.61509
374769.0,3.08673
374812.0,2.65373
374863.0,2.31595
374932.0,2.02381
375020.0,1.79468
375138.0,1.6499
375310.0,1.53911
375661.0,1.44674
377345.0,1.26347
380232.0,1.08472
383670.0,0.944628
385507.0,0.833246
387000.0,0.687769
387152.0,0.710893
387228.0,0.75491
387266.0,0.81673
387289.0,0.899498
387304.0,0.999723
387315.0,1.14125
387323.0,1.30913
387330.0,1.519
387337.0,1.84676
387344.0,2.31085
387352.0,2.94182
387361.0,4.00034
