27-Co-59(n,&gamma;) ENDF/B-VII.1
11861.0,0.190573
11861.7,0.235272
11862.3,0.287873
11863.0,0.368927
11863.7,0.47936
11864.4,0.620318
11865.1,0.816392
11865.9,1.09813
11866.8,1.53287
11868.3,2.36715
11869.9,3.26602
11871.0,3.69829
11872.0,3.84029
11872.9,3.73575
11873.9,3.37451
11875.5,2.5045
11877.0,1.61034
11878.0,1.14816
11878.8,0.858049
11879.5,0.645315
11880.2,0.50132
11880.8,0.391517
11881.5,0.305975
11882.1,0.251358
11882.8,0.200605
11883.5,0.163944
11884.4,0.132554
11885.2,0.110228
11886.3,0.0909746
11887.6,0.0739926
11889.1,0.0597775
11890.7,0.0494565
11892.7,0.0400338
11895.0,0.0324386
11897.6,0.0264019
11900.6,0.0214432
11904.2,0.0173421
11908.3,0.0141716
11912.9,0.0116636
11918.0,0.00970415
11923.2,0.00831692
11930.7,0.00693181
11939.3,0.00587701
11948.0,0.00516499
11960.6,0.00447852
11973.3,0.00403929
11994.0,0.00362597
12014.7,0.00347992
12028.1,0.00359909
12036.4,0.00387732
12041.4,0.00426637
12044.9,0.00478396
12047.3,0.00536444
12049.1,0.00604692
12050.6,0.00697325
12051.4,0.00780216
12052.2,0.00905187
12052.8,0.0107277
12053.4,0.0127775
12053.8,0.0153706
12054.3,0.0190477
12054.7,0.0233941
12055.1,0.0292166
12055.5,0.0371947
12055.9,0.0477809
12056.3,0.0616729
12056.7,0.0817392
12057.1,0.107976
12057.6,0.14516
12058.1,0.195186
12058.7,0.265612
12059.3,0.368258
12060.0,0.515329
12061.0,0.754789
12062.8,1.2509
12063.9,1.46832
12064.9,1.54766
12065.0,1.54909
12065.9,1.49493
12066.8,1.34014
12068.2,0.977046
12069.6,0.59318
12070.4,0.418158
12071.1,0.302193
12071.6,0.224109
12072.2,0.165887
12072.7,0.123233
12073.1,0.0947448
12073.5,0.0724882
12073.9,0.0553761
12074.3,0.0424107
12074.7,0.0331162
12075.1,0.0261437
12075.5,0.0209584
12076.0,0.0167252
12076.4,0.0140099
12076.9,0.0115978
12077.5,0.00975084
12078.1,0.00841285
12079.0,0.00722163
12080.1,0.00635143
12081.5,0.00561264
12083.7,0.00491265
12086.4,0.00434364
12089.8,0.0039016
12093.9,0.00357282
12102.2,0.00321531
12116.1,0.00294488
12149.6,0.00269949
12209.1,0.00255729
12369.8,0.00246371
12502.3,0.00250688
12650.9,0.00269329
12747.6,0.00293774
12828.2,0.00331098
12894.3,0.00378939
12947.6,0.00440173
12992.1,0.00521399
13027.6,0.0061414
13061.4,0.00746101
13089.2,0.00909176
13111.9,0.0110211
13130.9,0.0133101
13147.5,0.0160526
13164.0,0.0199451
13178.0,0.0246587
13189.3,0.0299565
13200.0,0.036937
13208.9,0.0451635
13215.8,0.0545227
13218.2,0.0594855
13219.8,0.0652833
13220.8,0.07226
13221.7,0.0829421
13222.4,0.0957995
13223.1,0.114985
13223.7,0.14299
13224.4,0.179629
13225.0,0.228853
13225.7,0.30322
13226.5,0.412137
13227.5,0.579922
13229.8,1.03837
13230.9,1.19915
13232.0,1.25522
13232.0,1.25499
13233.0,1.2079
13234.1,1.0639
13236.9,0.540575
13237.8,0.404396
13238.5,0.313313
13239.2,0.248615
13239.9,0.204604
13240.6,0.174299
13241.3,0.154613
13241.9,0.142726
13243.0,0.134549
13243.6,0.133114
13245.7,0.13776
13249.7,0.160445
13254.3,0.197007
13258.2,0.2413
13261.9,0.296922
13265.4,0.370676
13268.5,0.459159
13271.5,0.577841
13274.4,0.734744
13277.2,0.945933
13280.0,1.23197
13283.4,1.68297
13288.4,2.40094
13291.1,2.64275
13292.4,2.67521
13294.4,2.61073
13297.2,2.31953
13303.8,1.36876
13306.6,1.05307
13309.4,0.812908
13312.3,0.637447
13315.3,0.501939
13318.3,0.403441
13321.5,0.326469
13325.0,0.264286
13328.9,0.21382
13333.5,0.171302
13338.6,0.136992
13343.8,0.111286
13350.4,0.0884038
13357.4,0.0709114
13364.5,0.058246
13373.3,0.0467218
13383.4,0.0373879
13393.7,0.0305424
13405.7,0.0247704
13419.5,0.0201016
13434.4,0.0164854
13450.5,0.0136711
13469.4,0.0112962
13492.1,0.00929506
13518.5,0.00769795
13548.7,0.00648674
13578.9,0.00575447
13599.0,0.00557521
13611.6,0.00574926
13617.9,0.00600037
13624.2,0.00652371
13629.1,0.00728787
13632.4,0.00814561
13634.9,0.00912686
13637.3,0.0106186
13639.2,0.0124346
